college,rank,cutoff,branch,seat_type,round,year
"Government College of Engineering, Amravati",40878,77.6308856,Civil Engineering,GOPENS,I,2023
"Government College of Engineering, Amravati",59564,65.5958943,Civil Engineering,GSCS,I,2023
"Government College of Engineering, Amravati",79827,50.5614783,Civil Engineering,GSTS,I,2023
"Government College of Engineering, Amravati",54948,68.7024004,Civil Engineering,GNT1S,I,2023
"Government College of Engineering, Amravati",52709,70.2135829,Civil Engineering,GNT2S,I,2023
"Government College of Engineering, Amravati",41635,77.0666918,Civil Engineering,PWD39047,I,2023
"Government College of Engineering, Amravati",6665,96.3108357,Civil Engineering,GOPENS,I,2023
"Government College of Engineering, Amravati",10230,94.4417452,Civil Engineering,GSCS,I,2023
"Government College of Engineering, Amravati",9230,94.9538024,Civil Engineering,GNT1S,I,2023
"Government College of Engineering, Amravati",11944,93.5601746,Civil Engineering,GNT3S,I,2023
"Government College of Engineering, Amravati",7323,95.9583037,Civil Engineering,GOBCS,I,2023
"Government College of Engineering, Amravati",29026,84.2234647,Civil Engineering,PWD26357,I,2023
"Government College of Engineering, Amravati",12396,93.3030001,Electronics and Telecommunication Engg,GOPENS,I,2023
"Government College of Engineering, Amravati",16707,91.0449886,Electronics and Telecommunication Engg,GNT2S,I,2023
"Government College of Engineering, Amravati",54389,69.1685966,Electronics and Telecommunication Engg,GNT3S,I,2023
"Government College of Engineering, Amravati",14276,92.287017,Electronics and Telecommunication Engg,GOBCS,I,2023
"Government College of Engineering, Amravati",54273,69.3404295,Electronics and Telecommunication Engg,PWD49188,I,2023
"Government College of Engineering, Amravati",39246,78.3504176,Electronics and Telecommunication Engg,GOPENS,I,2023
"Government College of Engineering, Amravati",41879,77.0311313,Electronics and Telecommunication Engg,GSCS,I,2023
"Government College of Engineering, Amravati",60319,65.2400587,Electronics and Telecommunication Engg,GNT1S,I,2023
"Government College of Engineering, Amravati",67811,59.6829046,Electronics and Telecommunication Engg,GNT2S,I,2023
"Government College of Engineering, Amravati",86920,43.3167495,Electronics and Telecommunication Engg,GNT3S,I,2023
"Government College of Engineering, Amravati",40694,77.8495773,Electronics and Telecommunication Engg,PWD39969,I,2023
"Sant Gadge Baba Amravati University,Amravati",96679,34.6668564,Food Technology,GOPENH,I,2023
"Sant Gadge Baba Amravati University,Amravati",106795,23.121138,Food Technology,GVJH,I,2023
"Sant Gadge Baba Amravati University,Amravati",97137,33.5099087,Food Technology,GOBCH,I,2023
"Sant Gadge Baba Amravati University,Amravati",76270,53.7001897,Food Technology,LOPENH,I,2023
"Sant Gadge Baba Amravati University,Amravati",80648,49.0525702,Food Technology,LOBCH,I,2023
"Sant Gadge Baba Amravati University,Amravati",85062,45.6704109,Food Technology,PWD86730,I,2023
"Sant Gadge Baba Amravati University,Amravati",76092,53.7302794,Food Technology,GOPENO,I,2023
"Sant Gadge Baba Amravati University,Amravati",79162,50.9996691,Oil and Paints Technology,GOPENH,I,2023
"Sant Gadge Baba Amravati University,Amravati",91861,39.4196471,Oil and Paints Technology,LOPENH,I,2023
"Sant Gadge Baba Amravati University,Amravati",110225,18.840167,Petro Chemical Engineering,GOPENH,I,2023
"Sant Gadge Baba Amravati University,Amravati",110078,19.1072714,Petro Chemical Engineering,LOPENH,I,2023
"Government College of Engineering,Yavatmal",82211,48.2193247,Civil Engineering,GOPENH,I,2023
"Government College of Engineering,Yavatmal",116736,10.0599952,Civil Engineering,GSCH,I,2023
"Government College of Engineering,Yavatmal",95089,35.8351101,Civil Engineering,GSTH,I,2023
"Government College of Engineering,Yavatmal",95214,35.8351101,Civil Engineering,GVJH,I,2023
"Government College of Engineering,Yavatmal",83614,46.4456321,Civil Engineering,GNT1H,I,2023
"Government College of Engineering,Yavatmal",93400,38.17388,Civil Engineering,PWD87733,I,2023
"Government College of Engineering,Yavatmal",84707,45.9187639,Civil Engineering,GOPENO,I,2023
